Date_and_time,Power_meter
28-05-2020 00:12:00,105808
28-05-2020 01:15:00,105809
28-05-2020 03:05:00,105813
28-05-2020 05:30:00,105815
28-05-2020 07:32:00,105816
28-05-2020 11:06:00,105817
28-05-2020 13:22:00,105820
28-05-2020 15:03:00,105822
28-05-2020 16:10:00,105823
28-05-2020 17:08:00,105824
28-05-2020 19:16:00,105830
28-05-2020 20:24:00,105841
28-05-2020 22:13:00,105847
28-05-2020 23:45:00,105851
29-05-2020 00:35:00,105852
29-05-2020 01:30:00,105853
29-05-2020 02:55:00,105856
29-05-2020 05:20:00,105858
29-05-2020 07:15:00,105859
29-05-2020 10:55:00,105860
29-05-2020 13:20:00,105864
29-05-2020 15:09:00,105866
29-05-2020 16:25:00,105867
29-05-2020 17:12:00,105868
29-05-2020 19:20:00,105873
29-05-2020 20:35:00,105882
29-05-2020 22:15:00,105887
29-05-2020 23:52:00,105892